pulses;x;y;z
585;-0.214050;1.119186;-0.562607
586;-0.231720;1.268616;-0.582291
587;-0.238785;1.354279;-0.629730
588;-0.163086;1.332504;-0.626495
589;-0.176285;1.200012;-0.648056
590;-0.227615;1.133789;-0.652039
591;-0.246506;1.087143;-0.566559
592;-0.198792;1.076797;-0.518158
593;-0.086914;1.065857;-0.536835
594;-0.066605;1.061890;-0.554245
595;-0.061371;1.035355;-0.562271
596;-0.033813;0.869110;-0.322968
597;-0.023483;0.840393;-0.275024
598;-0.009827;0.966522;-0.336105
599;-0.026688;0.999481;-0.374176
600;-0.041107;1.030334;-0.438950
601;-0.029465;1.034973;-0.483887
602;-0.026474;1.043869;-0.528320
603;-0.061127;1.050613;-0.570984
604;-0.102951;1.045517;-0.519760
605;-0.152481;1.089630;-0.557236
606;-0.190750;1.065643;-0.597092
607;-0.229965;1.065765;-0.648315
608;-0.225296;1.097290;-0.673859
609;-0.169968;1.067902;-0.643448
610;-0.132843;1.088547;-0.623978
611;-0.039948;0.996307;-0.585953
612;0.020081;0.867859;-0.574341
613;0.007797;0.822815;-0.568054
614;0.004028;0.793198;-0.563950
615;-0.009781;0.737885;-0.568329
616;-0.029053;0.752487;-0.614258
617;0.022156;0.733765;-0.604965
618;0.026779;0.724213;-0.625000
619;0.008316;0.612961;-0.602036
620;-0.013657;0.546356;-0.546707
621;-0.030563;0.528687;-0.527740
622;-0.015198;0.535324;-0.519150
623;0.001419;0.515625;-0.510315
624;0.027176;0.522675;-0.533218
625;-0.009872;0.481247;-0.538300
626;-0.026657;0.437302;-0.494858
627;-0.083435;0.360931;-0.439484
628;-0.130219;0.345184;-0.414017
629;-0.159363;0.314026;-0.399185
630;-0.200928;0.308929;-0.383636
631;-0.222656;0.332169;-0.380310
632;-0.258621;0.374771;-0.387802
633;-0.285141;0.377319;-0.422531
634;-0.251404;0.420975;-0.451172
635;-0.212631;0.467834;-0.462189
636;-0.172577;0.548477;-0.514008
637;-0.151337;0.634689;-0.523987
638;-0.186829;0.701431;-0.556808
639;-0.170959;0.740189;-0.583298
640;-0.145401;0.811066;-0.630066
641;-0.112503;0.833527;-0.639114
642;-0.120605;0.854767;-0.669067
643;-0.112335;0.891937;-0.707001
644;-0.142929;0.925568;-0.680649
645;-0.136612;0.863297;-0.560211
646;-0.124023;0.912659;-0.604263
647;-0.040070;0.966995;-0.629288
648;0.003113;1.081985;-0.751816
649;-0.005646;1.159241;-0.853317
650;-0.077118;1.302246;-1.032547
651;-0.171555;1.291077;-1.026138
652;-0.292847;1.092941;-0.781540
653;-0.274841;0.947861;-0.685913
654;-0.209229;0.830078;-0.511505
655;-0.142044;0.834137;-0.422745
656;-0.086197;0.883301;-0.374252
657;-0.108521;0.964569;-0.382492
658;-0.157837;0.989807;-0.428696
659;-0.146530;0.940079;-0.448349
660;-0.114014;0.998032;-0.556717
661;-0.110214;1.020996;-0.582474
662;-0.193436;0.999298;-0.568268
663;-0.190155;1.030350;-0.576263
664;-0.154663;1.030228;-0.547882
665;-0.062439;1.044861;-0.590500
666;-0.062744;1.059402;-0.648178
667;-0.053696;1.026764;-0.708420
668;-0.091949;0.972672;-0.673203
669;-0.132477;0.975204;-0.647797
670;-0.167999;0.967758;-0.610931
671;-0.166290;0.936188;-0.576294
672;-0.124466;0.955353;-0.557114
673;-0.076218;1.036057;-0.582535
674;-0.043777;1.126068;-0.605438
675;0.024048;1.131744;-0.640991
676;0.088684;1.118042;-0.684128
677;0.127457;1.049286;-0.690308
678;0.049149;0.981949;-0.685501
679;-0.059906;0.928818;-0.704651
680;-0.081955;0.855209;-0.715836
